TaskId,TaskDesc
0,Imagine your best friend has sent you an email with some pictures last week. You are trying to find that email but your inbox has many other emails and it is impossible to find that email. What query would you use to search for it?
1,Imagine you are trying to find the grade report sent to you by one of your many school teachers containing a grade report for a certain class and you don't feel like scrolling through all your emails. So think of a query that would help you find that message.
2,Imagine last month you were out with your brother and took a selfie and now want to have a look at the picture. Try to find it.
3,Imagine you are in a new town for work and are looking for a local brewery as you like to try new craft beers and microbrews. You are wanting to have dinner as well so try to find the best place to go to.
4,You would like to know more about the subject of conjoined twins. Search for videos about the lives of conjoined twins considering various aspects of their lives.
5,Imagine you want to buy a new gadget for your smartphone. Search for a specific gadget to order online.
6,Tonight you are supposed to meet your friends in downtown and are looking for something to do for fun.
7,Consider one of the big cities near where you live. Next week you are going to travel to that city. Issue a query that would help you find a cheap hotel near the city center.
8,Select some apps that you usually use to buy stuff online. Think of something you need to buy in the near future. How would you search for it?
9,"You are remodeling the kitchen, replacing the woodwork around the three doors. There is a decorated piece of wood along the top, and the third door, which you are working on, is to a built-on family room that doesn't have the original woodwork around it. You are searching for how to cut miter joints so that the new door frame would resemble the original door frames, which are over 100 years old and make the joints come out tight and look good."
10,"Consider one of the latest videos you saw on Facebook. Now, you would like to see it again but you do not remember who had posted it. It is also impossible to scroll all the videos because there has been a lot of updates since then. So, now you would like to search for something related to the video that might help Facebook find it."
11,Consider your favorite app you use to manage your email accounts. What was your search query in your inbox?
12,"Select some social media apps. What would you search using them? Write the query you would use. This can be anything. It would be better if you can think of your recent experience when you were trying to find something in those apps. Please remember, we do not need any description of your situation, we are interested in the queries you used."
13,It's been a while that you are bored with the current playlist on your phone. Try to find some cool playlists of the genres you like most.
14,"Consider your favorite application for sending instant messages (e.g., WhatsApp, SnapChat, etc.). Now consider one of the latest messages, updates, or files you saw on the app. Open the app and search for it in the app until you find it. Then come back here and let us know what query you used to find it?"
15,"Search for an app for managing anxiety and depression that provides meditations, workbooks, forums and much more to enable you to manage your symptoms."
16,"Imagine one of your electronic devices died recently. Now you need to buy a new one but this time, you don't want to spend much on it. Search for it."
17,Imagine you are looking for the email you received from a shop about a game you have ordered online. You would like to check the shipping status and the expected arrival date.
18,"During you recent road trip, you noticed that certain areas had lots of wind turbines. Now you are curious about places in the U.S. that have a high concentration of wind turbines. Find information about which places in the U.S. have a high concentration of wind turbine installations."
19,"Select some apps for online shopping. What would you search using them? Write the query you would use. This can be anything. It would be better if you can think of your recent experience when you were trying to find something in those apps. Please remember, we do not need any description of your situation, we are interested in the queries you used."
20,Imagine your best friend took a picture of you last week and shared it on social media. Try to find that picture.
21,You are looking up the social profile of a college classmate. You are searching for him/her because he/she recently came up in a news article.
22,"Now that the new year has come, you have not yet bought anything for you. How would you search Twitter for new ideas for shopping for the new year?"
23,Search for one of your favorite TV shows to listen/watch while you are taking your dogs for a 20-30 minute walk around the block.
24,Imagine you have a pet at home. Consider something that you would like to buy for her/him. Once you decided what to buy try to find it and order it online.
25,Search your inbox to find the amount of your new Internet service. You are interested to see if there is a record of the terms you'd agreed to.
26,"You are soon getting married and need a variety of apps to help me plan wedding events, send out online invitations, and help book travel plans. Search for one of them."
27,You need to find an app that allows you to put many photos together into a collage. You are interested in an app that is free and works perfect with Facebook.
28,"Consider your best friend's birthday. Think of something that you would buy for her/him. Once you know what you want to buy, you need to order it online. Search for it."
29,Imagine you are building a UX portfolio and looking for ideas to sell your ideas to clients.
30,You are bored with your current hairstyle and are looking for a new hairstyle to try.
31,"Imagine this morning you were getting ready to go to work and wanted to listen to some music, so you would search for some songs to listen to. What would be your query?"
32,You want to find one of your favorite quotes.
33,One of your friends is considering plastic surgery and you would like to help her find information about the safety or hazards of plastic surgery. Find information about the safety of typical plastic surgery procedures.
34,Search for evidence that radio waves from cell towers or car phones affect brain cancer occurrence.
35,You need to call your best friend but don't remember his/her phone number. Try to find it.
36,"Your nephew who recently moved to LA from New York was asking you about some of the colorful people who populate your area. He mentioned he was seeing regulars, but couldn't identify them yet. You asked him if he had seen American Dan yet. He said no and asked you to describe him. You told him American Dan wore an American flag Speedo and rode a bike. Then you tried to find a photo of Dan on the Internet. You first searched for ""American Dan"" but found nothing. Then you searched ""American Speedo"" and again didn't get the results you wanted. Now, how would you change your query to find some relevant results?"
37,Imagine you like listening to something soothing at night to sleep and have a headphone sleep mask that you sleep with every night and you plug it into my phone. Try to find something appropriate to sleep with.
38,"Imagine you need to move to a new city and, as a result you get online and begin searching the vastness of the Internet for various housing, and other immediate necessities one requires when moving. How would you find useful information?"
39,"You have signed up for a special promotion with a company and have been emailing them back and forth so that you could receive specific information via their app. You cannot find the information on their app, so you need to search for their email to make sure that I was looking in the correct place on the app."
40,Select some apps for location search. Try to think of a query which would help you find some relevant information about a location.
41,You are bored and think a game could be a fun break activity. Search for your favorite type of game to find one that you would like.
42,"A few weeks before Christmas, you were doing some Christmas shopping at a local store when you realized you had'nt ordered anything for your sister/brother. You decided that when you got home you were going to look on some online stores for something she/he would really like and that you could also have shipped directly to her/his house, since you don't live in the same state anymore. Imagine, now you would like to order something. Search for it."
43,"Consider different daily, weekly, monthly goals that each person in your house is trying to achieve. For example, you would like to work out twice a week and read a chapter of book at least 5 times a week. Your brother wants to do yoga 1-2 times a week, and meditate 5-7 times a week. You are looking for an app to do that."
44,Search for reviews on a brand of shampoo.
45,Imagine you want to go to a specific mall in the suburbs of your city. You need to stop for gas on the way there. So you also need to know the opening hours to see if you will have enough time to walk around.
46,Consider your favorite app you use to search for apps. What was your latest app search query?
47,You are searching for an app that provided trail details which would help you find safe and easy trails to hike.
48,Search for videos of your favorite athlete or sport.
49,"You had a piece of a pool pump that broke that you needed to replace, Since the pump was older, you first had to identify the style pump by its picture, and then the specific part because you were not sure of the nomenclature. Now you need to identify the pump model and buy it."
50,"Imagine your friend just told you that two actresses (actors) look alike. As this seems a bit strange to you, you would like to see their faces again to see if your friend is right."
51,"You are searching for a particular Japanese branded shampoo and conditioner. As you do not speak nor read Japanese, finding out how the shampoo and conditioner bottles looks would be helpful in purchasing it in the future."
52,Consider one of your favorite social media platforms. What was your latest social search query on its app?
53,"Select some apps where you can find out about events. What would you search using them? Write the query you would use. This can be anything. It would be better if you can think of your recent experience when you were trying to find something in those apps. Please remember, we do not need any description of your situation, we are interested in the queries you used.."
54,Imagine earlier today you took a turn on your son's hover board and had a little incident. You fell and hurt your shoulder. You would like to pin point exactly the area your shoulder is experiencing pain in. How would search for something that would help you with that?
55,Imagine you recently moved to a new home and you often use your phone to search for directions. What would you search for?
56,"You have always thought you are a highly creative person. You are interesting in finding whether there are objective ways to measure creativity, for example by taking a specific test. Find information about methods for measuring creativity."
